0,288.15,1013.27,0,0,1033.81,1.2247
200,286.85,989.48,0,0,1009.26,1.2013
400,285.55,966.13,0,0,985.22,1.1783
600,284.25,943.24,0,0,961.68,1.1557
800,282.95,920.78,0,0,938.62,1.1333
1000,281.65,898.77,0,0,916.05,1.1113
1200,280.35,877.18,0,0,893.94,1.0897
1400,279.05,856.01,0,0,872.29,1.0683
1600,277.75,835.25,0,0,851.09,1.0473
1800,276.45,814.91,0,0,830.33,1.0266
2000,275.15,794.97,0,0,810.01,1.0062
2200,273.85,775.43,0,0,790.1,0.9861
2400,272.55,756.27,0,0,770.6,0.9664
2600,271.25,737.51,0,0,751.51,0.9469
2800,269.95,719.12,0,0,732.82,0.9277
3000,268.65,701.1,0,0,714.51,0.9089
3200,267.35,683.45,0,0,696.59,0.8903
3400,266.05,666.17,0,0,679.03,0.872
3600,264.75,649.23,0,0,661.84,0.854
3800,263.45,632.65,0,0,645.01,0.8363
4000,262.15,616.42,0,0,628.52,0.8189
4200,260.85,600.52,0,0,612.38,0.8018
4400,259.55,584.95,0,0,596.57,0.7849
4600,258.25,569.72,0,0,581.09,0.7683
4800,256.95,554.81,0,0,565.93,0.752
5000,255.65,540.21,0,0,551.09,0.7359
5200,254.35,525.93,0,0,536.55,0.7201
5400,253.05,511.95,0,0,522.31,0.7046
5600,251.75,498.28,0,0,508.37,0.6893
5800,250.45,484.9,0,0,494.72,0.6743
6000,249.15,471.82,0,0,481.36,0.6595
6200,247.85,459.02,0,0,468.26,0.645
6400,246.55,446.51,0,0,455.45,0.6307
6600,245.25,434.27,0,0,442.89,0.6167
6800,243.95,422.31,0,0,430.6,0.6029
7000,242.65,410.62,0,0,418.56,0.5893
7200,241.35,399.18,0,0,406.8,0.576
7400,240.05,388.01,0,0,395.32,0.5629
7600,238.75,377.1,0,0,384.13,0.5501
7800,237.45,366.43,0,0,373.22,0.5374
8000,236.15,356.01,0,0,362.57,0.525
8200,234.85,345.83,0,0,352.19,0.5128
8400,233.55,335.88,0,0,342.06,0.5009
8600,232.25,326.17,0,0,332.19,0.4891
8800,230.95,316.69,0,0,322.56,0.4776
9000,229.65,307.43,0,0,313.16,0.4662
9200,228.35,298.39,0,0,304,0.4551
9400,227.05,289.57,0,0,295.06,0.4442
9600,225.75,280.96,0,0,286.35,0.4334
9800,224.45,272.56,0,0,277.85,0.4229
10000,223.15,264.37,0,0,269.56,0.4126
10200,221.85,256.37,0,0,261.47,0.4025
10400,220.55,248.58,0,0,253.59,0.3925
10600,219.25,240.97,0,0,245.89,0.3828
10800,217.95,233.55,0,0,238.39,0.3732
11000,216.65,226.33,0,0,231.08,0.3638
11200,216.65,219.3,0,0,223.94,0.3525
11400,216.65,212.49,0,0,216.98,0.3416
11600,216.65,205.89,0,0,210.22,0.331
11800,216.65,199.5,0,0,203.66,0.3207
12000,216.65,193.31,0,0,197.32,0.3107
12200,216.65,187.31,0,0,191.17,0.3011
12400,216.65,181.49,0,0,185.21,0.2917
12600,216.65,175.86,0,0,179.44,0.2827
12800,216.65,170.4,0,0,173.85,0.2739
