Airports with ACARS Soundings. Downloaded from: https://rucsoundings.noaa.gov/airports.html

GSD_ID name wmoid  lat     lon   elev(m) Description
2233  CHA      0   35.04  -85.20  207 Lovell Field
0720  CHO      0   38.13  -78.45  195 Charlottesville, VA
0029  CHS  72208   32.90  -80.03   15 Charleston, SC
0030  CID  72545   41.88  -91.70  265 Cedar Rapids, IA
2231  CIU      0   46.25  -84.47  243 Chippewa County Intl
0438  CKB      0   39.28  -80.23  366 Clarksburg/Bndum, WV
0437  CKC      0   47.84  -90.38  548 Grand Marais/Cook County, MN
0457  CKD      0   61.87 -158.10 9999 Crooked Creek, AK
1919  CKH  46740   22.58  120.35    9 Kaohsiung Intl, Taiwan
0476  CKL  72229   32.90  -87.25  140 Centreville, AL
0399  CKS      0   -6.00  -37.55    0 Carajas, BR
0031  CLE  72524   41.42  -81.87  213 Cleveland/Hopkns, OH
1587  CLK      0   34.90   33.70    2 Larnaca
0032  CLT  72314   35.22  -80.93  234 Charlotte/Dougls, NC
0033  CMH  72428   40.00  -82.88  249 Columbus, OH
2228  CMI      0   40.04  -88.28  229 University Of Illinois-willard
2227  CMX      0   47.17  -88.49  333 Houghton County Memorial
0034  COS  72466   38.82 -104.72 1881 Colorado Springs, CO
2962  COU  72445   38.82  -92.22  274 Columbia Regional, MO/US
0035  CRP  72251   27.77  -97.50   13 Corpus Christi, TX
2226  CRW      0   38.37  -81.59  299 Charlestown/Yeager, WV
1918  CSG      0   32.52  -84.93  121 Columbus, GA
0348  CTP  46686   25.08  121.22   33 Chiang Kai Shek, Taiwan
0036  CVG  72421   39.05  -84.67  267 Cincinnati/Grtr, OH
2224  CWA      0   44.78  -89.67  389 Central Wisconsin
2965 CYAM  71260   46.48  -84.52  192 Sault Ste Marie , ON/CN
2369 CYBC  71187   49.13  -68.21   22 Baie Comeau, QB/CN
2399 CYBG  71727   48.33  -71.00  159 Bagotville, QB/CN
2373 CYCG  71884   49.30 -117.63  495 Castlegar, BC/CN
2379 CYDF  71809   49.22  -57.40   22 Deer Lake, NF/CN
2420 CYDQ      0   55.75 -120.18  655 Dawson Creek Arp, BC/CN
1231 CYEG  71123   53.33 -113.58  719 Edmonton Intl, AB/CN
2390 CYFC  71700   45.87  -66.53   20 Fredericton, NB/CN
2386 CYGK  71620   44.22  -76.60   93 Kingston, ON/CN
2403 CYGP  71188   48.77  -64.48   33 Gaspe, QB/CN
2396 CYGR  71709   47.42  -61.78   10 Iles De La Madel, QB/CN
2368 CYHZ  71395   44.88  -63.51  145 Halifax, NS/CN
2410 CYKA  71887   50.70 -120.45  346 Kamloops, BC/CN
2397 CYLD      0   47.82  -83.35  447 Chapleau Arpt, ON/CN
2371 CYLW  71203   49.96 -119.38  429 Kelowna, BC/CN
2375 CYMM  71932   56.65 -111.22  369 Fort Mcmurray, AB/CN
1294 CYMX      0   45.68  -74.04   82 Montreal/Mirabel
2388 CYOW  71628   45.32  -75.67  114 Ottawa Intl, ON/CN
