height,temperature,pressure
3.75,299.29299248951185,91943.91115154256
7.5,299.19475522228214,91904.72612346639
11.25,299.09651795505243,91865.54109539022
15.0,298.9982806878227,91826.35606731405
18.75,298.900043420593,91787.17103923787
22.5,298.8018061533633,91747.9860111617
26.25,298.7035688861336,91708.80098308553
30.0,298.6053316189039,91669.61595500936
33.75,298.52268453868953,91630.44612257989
37.5,298.463065304746,91591.2987169555
41.25,298.4034460708025,91552.15131133111
45.0,298.34382683685897,91513.00390570672
48.75,298.28420760291544,91473.85650008233
52.5,298.2245883689719,91434.70909445794
56.25,298.16559101006595,91395.5656991732
60.0,298.1159881154878,91356.48298843025
63.75,298.0663852209097,91317.4002776873
67.5,298.01678232633157,91278.31756694434
71.25,297.96717943175344,91239.2348562014
75.0,297.9175765371753,91200.15214545844
78.75,297.8679736425972,91161.0694347155
82.5,297.8192005512234,91121.99927701682
86.25,297.7746373422839,91082.9927731964
90.0,297.7300741333444,91043.98626937598
93.75,297.68551092440487,91004.97976555556
97.5,297.64094771546536,90965.97326173514
101.25,297.59638450652585,90926.96675791472
105.0,297.55182129758634,90887.9602540943
108.75,297.50725808864684,90848.95375027388
112.5,297.4638810402248,90810.00386540592
116.25,297.4211082442198,90771.08281318843
120.0,297.3783354482148,90732.16176097095
123.75,297.3355626522098,90693.24070875347
127.5,297.29278985620476,90654.31965653598
131.25,297.25001706019975,90615.3986043185
135.0,297.20724426419474,90576.47755210102
138.75,297.16447146818973,90537.55649988353
142.5,297.1224786644325,90498.6828713436
146.25,297.0812716638193,90459.8570268173
150.0,297.04006466320607,90421.03118229102
153.75,296.99885766259285,90382.20533776472
157.5,296.95765066197964,90343.37949323843
161.25,296.91644366136643,90304.55364871214
165.0,296.8752366607532,90265.72780418585
168.75,296.83402966014,90226.90195965956
172.5,296.7928226595268,90188.07611513327
176.25,296.7519990387167,90149.3141773551
180.0,296.71142020586683,90110.59305342131
183.75,296.67084137301697,90071.87192948752
187.5,296.6302625401671,90033.15080555373
191.25,296.58968370731725,89994.42968161993
195.0,296.5491048744674,89955.70855768614
198.75,296.50852604161753,89916.98743375235
202.5,296.46794720876767,89878.26630981856
206.25,296.4273683759178,89839.54518588477
210.0,296.38678954306795,89800.82406195097
213.75,296.34687986518827,89762.21108151971
217.5,296.30701720310014,89723.60570742188
221.25,296.267154541012,89685.00033332406
225.0,296.2272918789239,89646.39495922624
228.75,296.18742921683577,89607.78958512841
232.5,296.14756655474764,89569.18421103059
236.25,296.1077038926595,89530.57883693276
240.0,296.0678412305714,89491.97346283494
243.75,296.02797856848326,89453.36808873712
247.5,295.98811590639514,89414.76271463929
251.25,295.94819322323497,89376.20791245054
255.0,295.9081822294004,89337.72746849607
258.75,295.8681712355658,89299.2470245416
262.5,295.8281602417312,89260.76658058714
266.25,295.7881492478966,89222.28613663267
270.0,295.74813825406204,89183.8056926782
273.75,295.70812726022746,89145.32524872373
277.5,295.6681162663929,89106.84480476927
281.25,295.6281052725583,89068.3643608148
285.0,295.5880942787237,89029.88391686033
288.75,295.5480832848891,88991.40347290586
292.5,295.50807229105453,88952.9230289514
296.25,295.4695569616168,88914.57224322172
300.0,295.43112538376664,88876.22873140188
303.75,295.3926938059165,88837.88521958204
307.5,295.3542622280664,88799.5417077622
311.25,295.31583065021624,88761.19819594236
315.0,295.2773990723661,88722.85468412252
318.75,295.238967494516,88684.51117230268
322.5,295.20053591666584,88646.16766048284
326.25,295.1621043388157,88607.824148663
330.0,295.1236727609656,88569.48063684316
333.75,295.08524118311544,88531.13712502332
337.5,295.0468096052653,88492.79361320348
341.25,295.0095854124537,88454.52353872894
345.0,294.9736527418735,88416.33200802444
348.75,294.93772007129326,88378.14047731995
352.5,294.90178740071303,88339.94894661545
356.25,294.8658547301328,88301.75741591095
360.0,294.8299220595526,88263.56588520645
363.75,294.79398938897236,88225.37435450195
367.5,294.75805671839214,88187.18282379746
371.25,294.7221240478119,88148.99129309296
375.0,294.6861913772317,88110.79976238846
378.75,294.65025870665147,88072.60823168396
382.5,294.61432603607125,88034.41670097946
386.25,294.578393365491,87996.22517027496
390.0,294.5424606949108,87958.03363957047
393.75,294.5075490154279,87919.99959095044
397.5,294.4727101098699,87881.97678192181
401.25,294.43787120431193,87843.95397289318
405.0,294.40303229875394,87805.93116386456
408.75,294.36819339319595,87767.90835483593
412.5,294.33335448763796,87729.88554580731
416.25,294.29851558208,87691.86273677868
420.0,294.263676676522,87653.83992775006
423.75,294.228837770964,87615.81711872143
427.5,294.193998865406,87577.7943096928
431.25,294.159159959848,87539.77150066418
435.0,294.12432105429,87501.74869163556
438.75,294.08948214873203,87463.72588260693
442.5,294.05464324317404,87425.7030735783
446.25,294.01991791140966,87387.71904733591
450.0,293.9856146548663,87349.87904336862
453.75,293.95131139832296,87312.03903940134
457.5,293.9170081417796,87274.19903543405
461.25,293.88270488523625,87236.35903146677
465.0,293.8484016286929,87198.51902749948
468.75,293.81409837214954,87160.6790235322
472.5,293.7797951156062,87122.83901956491
476.25,293.74549185906284,87084.99901559763
480.0,293.7111886025195,87047.15901163034
483.75,293.67688534597613,87009.31900766306
487.5,293.6425820894328,86971.47900369577
491.25,293.6082788328894,86933.63899972849
495.0,293.5739755763461,86895.7989957612
498.75,293.5396723198027,86857.95899179392
502.5,293.50536906325937,86820.11898782663
506.25,293.4725004849883,86782.32573797321
510.0,293.4445184704077,86744.69178487873
513.75,293.41653645582704,86707.05783178424
517.5,293.3885544412464,86669.42387868976
521.25,293.3605724266658,86631.78992559528
525.0,293.33259041208515,86594.1559725008
